,BVPS,CFSHR,SCEX,EBIT,EBS,EBITD,EV,EPS,GPS,GROSMGN,NETDEBT,EIBT,ROAPCT,ROEPCT,SREV,DDPS1
2019,35.17,9.67,16073.01,23826406000,13.93,39518.16,543812.4,6.43,6.47,81.65,-48247.85,24352.71,17773000,22923000,70496.59,
2020,42.52,11.29,15875.7,30578428000,15.63,43688.21,756296.33,9.38,9.36,80.71,-55973.2,31253.1,18182000,24080000,84130.73,
2021,50.64,17.12,18930.74,47239705000,21.97,63036.72,842379.64,13.92,13.91,79.72,-65687.72,48284.69,22871000,29203000,117682.37,
2022,48.61,16.02,31662.45,30527563000,18.6,49579.68,311279.97,9.09,9.08,79.44,-31224.0,30800.89,16254000,22135000,116129.53,
2023,59.51,23.37,29842.32,45575156000,27.54,70539.95,892267.13,14.39,14.4,80.71,-41466.67,46719.62,19676000,28755000,133747.23,
2024,71.74,31.91,37693.45,63336228000,33.96,92485.51,1253514.98,21.24,21.23,81.28,-40300.72,64431.49,22017000,32501000,161653.49,2.02
2025,91.42,37.85,45252.47,73249710000,39.31,108761.96,1313842.72,24.17,24.22,80.69,-68294.89,74520.37,21532000,29705000,184065.63,2.2
2026,115.73,43.29,47599.92,83104086000,35.32,123871.22,1345244.83,27.61,27.76,80.48,-112783.71,84503.64,19884000,26310000,205973.14,2.37
2027,,,47080.97,93229690000,,141463.62,,30.44,30.44,80.43,-183037.0,95408.98,15800000,23050000,228026.09,
2028,,,49130.64,101837933000,,159356.15,,32.35,32.35,80.44,,105243.78,15000000,18000000,245703.88,
